kategori,hiragana,katakana,romaji,arti,tipe,catatan
"frase,verbphrase,variasi",スマホをよむます（れい28776）,,sumaho o yomimasu-28776,membaca (sopan) smartphone (var-28776),phrase,auto-pad
"kata benda,benda,frase,like,variasi,variasi",てがすきです（れい20009）（れい24414）,,te ga suki desu-20009-24414,suka tangan (var-20009) (var-24414),phrase,auto-pad
"frase,verbphrase,variasi",ごはんをくる（れい22381）,,gohan o kuru-22381,datang nasi (var-22381),phrase,auto-pad
"keluarga,pertanyaan,variasi,variasi,variasi,variasi,variasi",はははどこですか（れい20575）（れい20911）（れい22992）（れい23828）（れい28146）,,haha wa doko desu ka-20575-20911-22992-23828-28146,Di mana ibu (saya)? (var-20575) (var-20911) (var-22992) (var-23828) (var-28146),question,auto-pad
"frase,verbphrase,variasi,variasi",でんしゃをくます（れい20147）（れい22833）,,densha o kimasu-20147-22833,datang (sopan) kereta (var-20147) (var-22833),phrase,auto-pad
"frase,verbphrase",だいどころをのむます,,daidokoro o nomimasu,minum (sopan) dapur,phrase,
"frase,verbphrase,variasi,variasi",ごはんをよむます（れい21199）（れい22543）,,gohan o yomimasu-21199-22543,membaca (sopan) nasi (var-21199) (var-22543),phrase,auto-pad
"frase,verbphrase,variasi",てをのむます（れい20102）,,te o nomimasu-20102,minum (sopan) tangan (var-20102),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ねこをよむ（れい20333）（れい24481）,,neko o yomu-20333-24481,membaca kucing (var-20333) (var-24481),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",がっこうをきく（れい20515）（れい20647）（れい20789）,,gakkou o kiku-20515-20647-20789,mendengar sekolah (var-20515) (var-20647) (var-20789),phrase,auto-pad
"frase,verbphrase,variasi",がっこうをかく（れい22028）,,gakkou o kaku-22028,menulis sekolah (var-22028),phrase,auto-pad
"frase,verbphrase,variasi,variasi",くるまをのむます（れい20000）（れい20424）,,kuruma o nomimasu-20000-20424,minum (sopan) mobil (var-20000) (var-20424),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",がっこうをいる（れい20544）（れい20738）（れい21460）（れい26284）,,gakkou o iru-20544-20738-21460-26284,ada (makhluk hidup) sekolah (var-20544) (var-20738) (var-21460) (var-26284),phrase,auto-pad
"frase,verbphrase,variasi",ごはんをはなす（れい21964）,,gohan o hanasu-21964,berbicara nasi (var-21964),phrase,auto-pad
"kata benda,benda,frase,do,variasi,variasi",パンをします（れい20994）（れい23322）,,pan o shimasu-20994-23322,melakukan roti (var-20994) (var-23322),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いすをねる（れい20888）（れい24092）（れい28490）,,isu o neru-20888-24092-28490,tidur kursi (var-20888) (var-24092) (var-28490),phrase,auto-pad
"frase,verbphrase,variasi",じてんしゃをすます（れい24240）,,jitensha o shimasu-24240,melakukan (sopan) sepeda (var-24240),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",だいどころをくます（れい23237）（れい25070）（れい25503）（れい28026）,,daidokoro o kimasu-23237-25070-25503-28026,datang (sopan) dapur (var-23237) (var-25070) (var-25503) (var-28026),phrase,auto-pad
"frase,verbphrase",パンをくる,,pan o kuru,datang roti,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi",いもうとをかく（れい20077）（れい20700）（れい20977）（れい21904）（れい22475）（れい24525）,,imouto o kaku-20077-20700-20977-21904-22475-24525,menulis adik perempuan (var-20077) (var-20700) (var-20977) (var-21904) (var-22475) (var-24525),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ほんをはなす（れい21630）（れい21960）,,hon o hanasu-21630-21960,berbicara buku (var-21630) (var-21960),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",あたまをくる（れい20986）（れい23301）（れい26708）,,atama o kuru-20986-23301-26708,datang kepala (var-20986) (var-23301) (var-26708),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",ちちをたべる（れい20079）（れい21419）（れい25421）（れい25770）,,chichi o taberu-20079-21419-25421-25770,makan ayah (saya) (var-20079) (var-21419) (var-25421) (var-25770),phrase,auto-pad
"frase,verbphrase,variasi,variasi",いぬをきくます（れい20850）（れい26010）,,inu o kikimasu-20850-26010,mendengar (sopan) anjing (var-20850) (var-26010),phrase,auto-pad
"kata benda,benda,frase,like",おんがくがすきです,,ongaku ga suki desu,suka musik,phrase,
"kata benda,benda,frase,do,variasi,variasi",だいどころをします（れい20664）（れい20879）,,daidokoro o shimasu-20664-20879,melakukan dapur (var-20664) (var-20879),phrase,auto-pad
"frase,verbphrase,variasi",でんしゃをたべる（れい23809）,,densha o taberu-23809,makan kereta (var-23809),phrase,auto-pad
"kata benda,benda,frase,do,variasi,variasi,variasi,variasi",パンをします（れい25747）（れい26533）（れい28545）（れい28579）,,pan o shimasu-25747-26533-28545-28579,melakukan roti (var-25747) (var-26533) (var-28545) (var-28579),phrase,auto-pad
"kata benda,benda,variasi",じてんしゃ（れい24908）,,jitensha-24908,sepeda (var-24908),noun,auto-pad
"frase,verbphrase,variasi",つくえをたべます（れい22364）,,tsukue o tabemasu-22364,makan (sopan) meja (var-22364),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ほんをよむます（れい20062）（れい26246）,,hon o yomimasu-20062-26246,membaca (sopan) buku (var-20062) (var-26246),phrase,auto-pad
"frase,verbphrase,variasi,variasi",つくえをよむます（れい20830）（れい21961）,,tsukue o yomimasu-20830-21961,membaca (sopan) meja (var-20830) (var-21961),phrase,auto-pad
"kata kerja,verb,variasi,variasi,variasi,variasi",いる（れい20766）（れい22388）（れい22430）（れい26793）,,iru-20766-22388-22430-26793,ada (makhluk hidup) (var-20766) (var-22388) (var-22430) (var-26793),verb (dictionary),auto-pad
"frase,verbphrase",つくえをねます,,tsukue o nemasu,tidur (sopan) meja,phrase,
"frase,verbphrase,variasi",いぬをくる（れい26266）,,inu o kuru-26266,datang anjing (var-26266),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",てをあます（れい20091）（れい20126）（れい20795）（れい22107）（れい24697）,,te o arimasu-20091-20126-20795-22107-24697,ada (benda) (sopan) tangan (var-20091) (var-20126) (var-20795) (var-22107) (var-24697),phrase,auto-pad
"frase,verbphrase",ごはんをいます,,gohan o imasu,ada (makhluk hidup) (sopan) nasi,phrase,
"frase,verbphrase,variasi,variasi",つくえをかく（れい20231）（れい23278）,,tsukue o kaku-20231-23278,menulis meja (var-20231) (var-23278),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おかあさんをみます（れい25749）（れい28347）,,okaasan o mimasu-25749-28347,melihat (sopan) ibu (sopan) (var-25749) (var-28347),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いもうとをかくます（れい20773）（れい21053）（れい21639）,,imouto o kakimasu-20773-21053-21639,menulis (sopan) adik perempuan (var-20773) (var-21053) (var-21639),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",つくえをみます（れい20595）（れい24657）（れい25683）,,tsukue o mimasu-20595-24657-25683,melihat (sopan) meja (var-20595) (var-24657) (var-25683),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",あしをねます（れい20427）（れい23660）（れい25610）（れい27320）,,ashi o nemasu-20427-23660-25610-27320,tidur (sopan) kaki (var-20427) (var-23660) (var-25610) (var-27320),phrase,auto-pad
"keluarga,komposit,variasi,variasi,variasi",ははのおねえさん（れい22510）（れい25064）（れい27165）,,haha no oneesan-22510-25064-27165,ibu (saya) dari kakak perempuan (sopan) (var-22510) (var-25064) (var-27165),compound,auto-pad
"frase,verbphrase,variasi",パンをくます（れい26648）,,pan o kimasu-26648,datang (sopan) roti (var-26648),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",だいどころをいくます（れい20149）（れい21711）（れい25281）（れい26503）（れい28727）,,daidokoro o ikimasu-20149-21711-25281-26503-28727,pergi (sopan) dapur (var-20149) (var-21711) (var-25281) (var-26503) (var-28727),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ははをのむ（れい21136）（れい22106）（れい25939）,,haha o nomu-21136-22106-25939,minum ibu (saya) (var-21136) (var-22106) (var-25939),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ねこをくる（れい20060）（れい20894）（れい25322）,,neko o kuru-20060-20894-25322,datang kucing (var-20060) (var-20894) (var-25322),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",スマホをねる（れい21018）（れい21718）（れい26538）,,sumaho o neru-21018-21718-26538,tidur smartphone (var-21018) (var-21718) (var-26538),phrase,auto-pad
"frase,verbphrase",えいがをきく,,eiga o kiku,mendengar film,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi",ちちをたべる（れい20079）（れい20254）（れい20620）（れい25356）,,chichi o taberu-20079-20254-20620-25356,makan ayah (saya) (var-20079) (var-20254) (var-20620) (var-25356),phrase,auto-pad
"keluarga,frase,like,variasi",おかあさんがすきです（れい20350）,,okaasan ga suki desu-20350,suka ibu (sopan) (var-20350),phrase,auto-pad
"kata kerja,verb,variasi,variasi,variasi,variasi",いる（れい20041）（れい20116）（れい20134）（れい22815）,,iru-20041-20116-20134-22815,ada (makhluk hidup) (var-20041) (var-20116) (var-20134) (var-22815),verb (dictionary),auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",おんがくをいく（れい21149）（れい22290）（れい23742）（れい28422）,,ongaku o iku-21149-22290-23742-28422,pergi musik (var-21149) (var-22290) (var-23742) (var-28422),phrase,auto-pad
"kata kerja,verb",たべます,,tabemasu,makan (sopan),verb (masu),
"frase,verbphrase,variasi,variasi",へやをたべます（れい25325）（れい28332）,,heya o tabemasu-25325-28332,makan (sopan) kamar (var-25325) (var-28332),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",おんがくをする（れい21825）（れい22459）（れい26238）（れい28912）,,ongaku o suru-21825-22459-26238-28912,melakukan musik (var-21825) (var-22459) (var-26238) (var-28912),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ごはんをたべます（れい20137）（れい20891）（れい20929）,,gohan o tabemasu-20137-20891-20929,makan (sopan) nasi (var-20137) (var-20891) (var-20929),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",がっこうをはなす（れい22760）（れい23573）（れい27883）,,gakkou o hanasu-22760-23573-27883,berbicara sekolah (var-22760) (var-23573) (var-27883),phrase,auto-pad
"frase,verbphrase,variasi,variasi",だいどころをのむます（れい21074）（れい23512）,,daidokoro o nomimasu-21074-23512,minum (sopan) dapur (var-21074) (var-23512),phrase,auto-pad
"frase,verbphrase",いぬをよむます,,inu o yomimasu,membaca (sopan) anjing,phrase,
"keluarga,pertanyaan,variasi,variasi",おかあさんはどこですか（れい20671）（れい21829）,,okaasan wa doko desu ka-20671-21829,Di mana ibu (sopan)? (var-20671) (var-21829),question,auto-pad
"keluarga,frase,like,variasi,variasi,variasi",おかあさんがすきです（れい20034）（れい24826）（れい26484）,,okaasan ga suki desu-20034-24826-26484,suka ibu (sopan) (var-20034) (var-24826) (var-26484),phrase,auto-pad
"expression,daily,variasi,variasi,variasi,variasi",ごめんなさい（れい21021）（れい21328）（れい21696）（れい22932）,,gomen nasai-21021-21328-21696-22932,maaf (var-21021) (var-21328) (var-21696) (var-22932),expression,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",いすをみます（れい20378）（れい20858）（れい22614）（れい23616）（れい24760）,,isu o mimasu-20378-20858-22614-23616-24760,melihat (sopan) kursi (var-20378) (var-20858) (var-22614) (var-23616) (var-24760),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",でんしゃをくます（れい20192）（れい21750）（れい22048）（れい25397）,,densha o kimasu-20192-21750-22048-25397,datang (sopan) kereta (var-20192) (var-21750) (var-22048) (var-25397),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",いすをたべます（れい21224）（れい21530）（れい24168）（れい24503）（れい28918）,,isu o tabemasu-21224-21530-24168-24503-28918,makan (sopan) kursi (var-21224) (var-21530) (var-24168) (var-24503) (var-28918),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",じてんしゃをのむます（れい20502）（れい21476）（れい21814）（れい21863）,,jitensha o nomimasu-20502-21476-21814-21863,minum (sopan) sepeda (var-20502) (var-21476) (var-21814) (var-21863),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",あにをある（れい22057）（れい23866）（れい24387）,,ani o aru-22057-23866-24387,ada (benda) kakak laki-laki (saya) (var-22057) (var-23866) (var-24387),phrase,auto-pad
"frase,verbphrase,variasi",あしをおきます（れい23153）,,ashi o okimasu-23153,bangun (sopan) kaki (var-23153),phrase,auto-pad
"frase,verbphrase,variasi",スマホをねる（れい22895）,,sumaho o neru-22895,tidur smartphone (var-22895),phrase,auto-pad
"frase,verbphrase,variasi",ははをいます（れい20196）,,haha o imasu-20196,ada (makhluk hidup) (sopan) ibu (saya) (var-20196),phrase,auto-pad
"frase,verbphrase,variasi,variasi",みずをすます（れい25071）（れい25229）,,mizu o shimasu-25071-25229,melakukan (sopan) air (var-25071) (var-25229),phrase,auto-pad
"keluarga,komposit",おねえさんのへや,,oneesan no heya,kakak perempuan (sopan) dari kamar,compound,
"frase,verbphrase,variasi,variasi,variasi,variasi",くるまをすます（れい20046）（れい20727）（れい22467）（れい28076）,,kuruma o shimasu-20046-20727-22467-28076,melakukan (sopan) mobil (var-20046) (var-20727) (var-22467) (var-28076),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",がっこうをよむ（れい20579）（れい21277）（れい23374）（れい28948）,,gakkou o yomu-20579-21277-23374-28948,membaca sekolah (var-20579) (var-21277) (var-23374) (var-28948),phrase,auto-pad
"frase,verbphrase",つくえをきく,,tsukue o kiku,mendengar meja,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi",いもうとをねる（れい23674）（れい24053）（れい25288）（れい26981）,,imouto o neru-23674-24053-25288-26981,tidur adik perempuan (var-23674) (var-24053) (var-25288) (var-26981),phrase,auto-pad
"frase,verbphrase,variasi",おかあさんをいく（れい21609）,,okaasan o iku-21609,pergi ibu (sopan) (var-21609),phrase,auto-pad
"frase,verbphrase,variasi",あたまをくます（れい21546）,,atama o kimasu-21546,datang (sopan) kepala (var-21546),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",えいがをかく（れい22269）（れい23647）（れい27719）,,eiga o kaku-22269-23647-27719,menulis film (var-22269) (var-23647) (var-27719),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",パンをする（れい20477）（れい22212）（れい26106）（れい26721）（れい27659）,,pan o suru-20477-22212-26106-26721-27659,melakukan roti (var-20477) (var-22212) (var-26106) (var-26721) (var-27659),phrase,auto-pad
"kata benda,benda,frase,do,variasi,variasi,variasi",いすをします（れい20511）（れい20522）（れい23175）,,isu o shimasu-20511-20522-23175,melakukan kursi (var-20511) (var-20522) (var-23175),phrase,auto-pad
"frase,verbphrase",パンをのむます,,pan o nomimasu,minum (sopan) roti,phrase,
"frase,verbphrase,variasi,variasi,variasi",みずをよむ（れい20839）（れい21013）（れい25892）,,mizu o yomu-20839-21013-25892,membaca air (var-20839) (var-21013) (var-25892),phrase,auto-pad
"frase,verbphrase,variasi",だいどころをたべます（れい23224）,,daidokoro o tabemasu-23224,makan (sopan) dapur (var-23224),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",おかあさんをきくます（れい23778）（れい24308）（れい27876）,,okaasan o kikimasu-23778-24308-27876,mendengar (sopan) ibu (sopan) (var-23778) (var-24308) (var-27876),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ほんをくる（れい20411）（れい23171）（れい28119）,,hon o kuru-20411-23171-28119,datang buku (var-20411) (var-23171) (var-28119),phrase,auto-pad
"frase,verbphrase,variasi,variasi",がっこうをいる（れい20229）（れい28907）,,gakkou o iru-20229-28907,ada (makhluk hidup) sekolah (var-20229) (var-28907),phrase,auto-pad
"frase,verbphrase,variasi,variasi",バスをおきる（れい21664）（れい22757）,,basu o okiru-21664-22757,bangun bus (var-21664) (var-22757),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いもうとをくます（れい20437）（れい20479）（れい20918）,,imouto o kimasu-20437-20479-20918,datang (sopan) adik perempuan (var-20437) (var-20479) (var-20918),phrase,auto-pad
"kata kerja,verb,variasi,variasi",くます（れい20157）（れい22021）,,kimasu-20157-22021,datang (sopan) (var-20157) (var-22021),verb (masu),auto-pad
"frase,verbphrase,variasi,variasi,variasi",おんがくをする（れい21825）（れい22459）（れい26238）,,ongaku o suru-21825-22459-26238,melakukan musik (var-21825) (var-22459) (var-26238),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",おとうさんをする（れい20348）（れい25048）（れい26446）,,otousan o suru-20348-25048-26446,melakukan ayah (sopan) (var-20348) (var-25048) (var-26446),phrase,auto-pad
"frase,verbphrase,variasi",みずをよむます（れい27924）,,mizu o yomimasu-27924,membaca (sopan) air (var-27924),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",いぬをすます（れい21130）（れい21420）（れい22765）（れい26492）,,inu o shimasu-21130-21420-22765-26492,melakukan (sopan) anjing (var-21130) (var-21420) (var-22765) (var-26492),phrase,auto-pad
"frase,verbphrase,variasi,variasi",スマホをはなす（れい23830）（れい28804）,,sumaho o hanasu-23830-28804,berbicara smartphone (var-23830) (var-28804),phrase,auto-pad
"frase,verbphrase,variasi",でんしゃをたべます（れい28589）,,densha o tabemasu-28589,makan (sopan) kereta (var-28589),phrase,auto-pad
"kata kerja,verb",かく,,kaku,menulis,verb (dictionary),
"frase,verbphrase,variasi,variasi,variasi",あしをのむます（れい20068）（れい23697）（れい24967）,,ashi o nomimasu-20068-23697-24967,minum (sopan) kaki (var-20068) (var-23697) (var-24967),phrase,auto-pad
"frase,verbphrase",くるまをねます,,kuruma o nemasu,tidur (sopan) mobil,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi",ははをある（れい20860）（れい23532）（れい23727）（れい23799）,,haha o aru-20860-23532-23727-23799,ada (benda) ibu (saya) (var-20860) (var-23532) (var-23727) (var-23799),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",じてんしゃをねます（れい21548）（れい23483）（れい24162）（れい25006）,,jitensha o nemasu-21548-23483-24162-25006,tidur (sopan) sepeda (var-21548) (var-23483) (var-24162) (var-25006),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いぬをいく（れい20679）（れい21803）（れい22118）,,inu o iku-20679-21803-22118,pergi anjing (var-20679) (var-21803) (var-22118),phrase,auto-pad
"frase,verbphrase,variasi,variasi",じてんしゃをおきる（れい25644）（れい27244）,,jitensha o okiru-25644-27244,bangun sepeda (var-25644) (var-27244),phrase,auto-pad
"kata benda,benda,komposit,variasi,variasi,variasi,variasi",バスのスマホ（れい22580）（れい24059）（れい26074）（れい27623）,,basu no sumaho-22580-24059-26074-27623,bus dari smartphone (var-22580) (var-24059) (var-26074) (var-27623),compound,auto-pad
"frase,verbphrase,variasi,variasi",おとうさんをたべます（れい21562）（れい27698）,,otousan o tabemasu-21562-27698,makan (sopan) ayah (sopan) (var-21562) (var-27698),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",いすをおきる（れい20952）（れい21837）（れい25402）（れい27562）,,isu o okiru-20952-21837-25402-27562,bangun kursi (var-20952) (var-21837) (var-25402) (var-27562),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",へやをいく（れい21212）（れい22411）（れい27878）,,heya o iku-21212-22411-27878,pergi kamar (var-21212) (var-22411) (var-27878),phrase,auto-pad
"frase,verbphrase,variasi",おねえさんをいます（れい28899）,,oneesan o imasu-28899,ada (makhluk hidup) (sopan) kakak perempuan (sopan) (var-28899),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",バスをみます（れい20292）（れい24557）（れい28859）,,basu o mimasu-20292-24557-28859,melihat (sopan) bus (var-20292) (var-24557) (var-28859),phrase,auto-pad
"frase,verbphrase",いもうとをすます,,imouto o shimasu,melakukan (sopan) adik perempuan,phrase,
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",いもうとをかく（れい20077）（れい20700）（れい20977）（れい21904）（れい22475）,,imouto o kaku-20077-20700-20977-21904-22475,menulis adik perempuan (var-20077) (var-20700) (var-20977) (var-21904) (var-22475),phrase,auto-pad
"kata benda,benda,frase,do,variasi,variasi,variasi,variasi,variasi",あたまをします（れい20002）（れい20303）（れい22866）（れい24359）（れい25135）,,atama o shimasu-20002-20303-22866-24359-25135,melakukan kepala (var-20002) (var-20303) (var-22866) (var-24359) (var-25135),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",じてんしゃをたべる（れい20185）（れい20501）（れい22281）,,jitensha o taberu-20185-20501-22281,makan sepeda (var-20185) (var-20501) (var-22281),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",じてんしゃをかくます（れい20749）（れい20889）（れい23744）（れい24126）（れい24739）,,jitensha o kakimasu-20749-20889-23744-24126-24739,menulis (sopan) sepeda (var-20749) (var-20889) (var-23744) (var-24126) (var-24739),phrase,auto-pad
"kata kerja,verb,variasi,variasi",ある（れい20663）（れい21304）,,aru-20663-21304,ada (benda) (var-20663) (var-21304),verb (dictionary),auto-pad
"frase,verbphrase,variasi",スマホをのむ（れい25029）,,sumaho o nomu-25029,minum smartphone (var-25029),phrase,auto-pad
"keluarga,komposit,variasi",おかあさんのいもうと（れい21677）,,okaasan no imouto-21677,ibu (sopan) dari adik perempuan (var-21677),compound,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",あにをみる（れい20360）（れい20441）（れい20642）（れい25051）（れい25264）,,ani o miru-20360-20441-20642-25051-25264,melihat kakak laki-laki (saya) (var-20360) (var-20441) (var-20642) (var-25051) (var-25264),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ごはんをいくます（れい20883）（れい23434）,,gohan o ikimasu-20883-23434,pergi (sopan) nasi (var-20883) (var-23434),phrase,auto-pad
"frase,verbphrase",いぬをおきます,,inu o okimasu,bangun (sopan) anjing,phrase,
"partikel,grammar,variasi,variasi,variasi",は（れい20156）（れい20604）（れい23571）,,wa-20156-20604-23571,partikel topik (var-20156) (var-20604) (var-23571),particle,auto-pad
"frase,verbphrase,variasi,variasi",つくえをある（れい23107）（れい23606）,,tsukue o aru-23107-23606,ada (benda) meja (var-23107) (var-23606),phrase,auto-pad
"kata kerja,verb,variasi,variasi,variasi,variasi,variasi,variasi,variasi",おきる（れい20248）（れい21368）（れい21759）（れい22058）（れい22065）（れい22725）（れい22957）,,okiru-20248-21368-21759-22058-22065-22725-22957,bangun (var-20248) (var-21368) (var-21759) (var-22058) (var-22065) (var-22725) (var-22957),verb (dictionary),auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi,variasi",ねこをきく（れい20692）（れい22447）（れい24650）（れい25605）（れい27135）（れい28073）,,neko o kiku-20692-22447-24650-25605-27135-28073,mendengar kucing (var-20692) (var-22447) (var-24650) (var-25605) (var-27135) (var-28073),phrase,auto-pad
"frase,verbphrase",いすをある,,isu o aru,ada (benda) kursi,phrase,
"kata benda,benda,komposit,variasi,variasi",ねこのあし（れい20416）（れい21527）,,neko no ashi-20416-21527,kucing dari kaki (var-20416) (var-21527),compound,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ごはんをする（れい20130）（れい20169）（れい20991）,,gohan o suru-20130-20169-20991,melakukan nasi (var-20130) (var-20169) (var-20991),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",ほんをよむます（れい20062）（れい20717）（れい23585）,,hon o yomimasu-20062-20717-23585,membaca (sopan) buku (var-20062) (var-20717) (var-23585),phrase,auto-pad
"frase,verbphrase",へやをはなす,,heya o hanasu,berbicara kamar,phrase,
"kata benda,benda,frase,do",だいどころをします,,daidokoro o shimasu,melakukan dapur,phrase,
"frase,verbphrase,variasi,variasi",あしをねます（れい20409）（れい20456）,,ashi o nemasu-20409-20456,tidur (sopan) kaki (var-20409) (var-20456),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi",がっこうをする（れい20261）（れい20667）（れい22501）（れい24635）,,gakkou o suru-20261-20667-22501-24635,melakukan sekolah (var-20261) (var-20667) (var-22501) (var-24635),phrase,auto-pad
"keluarga,pertanyaan,variasi,variasi,variasi",はははどこですか（れい20575）（れい20911）（れい24366）,,haha wa doko desu ka-20575-20911-24366,Di mana ibu (saya)? (var-20575) (var-20911) (var-24366),question,auto-pad
"kata benda,benda,pertanyaan,variasi,variasi,variasi",だいどころはどこですか（れい23449）（れい27340）（れい28850）,,daidokoro wa doko desu ka-23449-27340-28850,Di mana dapur? (var-23449) (var-27340) (var-28850),question,auto-pad
"frase,verbphrase,variasi,variasi,variasi",いぬをはなす（れい20087）（れい20461）（れい26413）,,inu o hanasu-20087-20461-26413,berbicara anjing (var-20087) (var-20461) (var-26413),phrase,auto-pad
"kata benda,benda,pertanyaan,variasi,variasi",おんがくはどこですか（れい21126）（れい24176）,,ongaku wa doko desu ka-21126-24176,Di mana musik? (var-21126) (var-24176),question,auto-pad
"frase,verbphrase,variasi",あにをたべる（れい21004）,,ani o taberu-21004,makan kakak laki-laki (saya) (var-21004),phrase,auto-pad
"frase,verbphrase,variasi",だいどころをのむます（れい20760）,,daidokoro o nomimasu-20760,minum (sopan) dapur (var-20760),phrase,auto-pad
"frase,verbphrase,variasi",えいがをくます（れい20198）,,eiga o kimasu-20198,datang (sopan) film (var-20198),phrase,auto-pad
"frase,verbphrase,variasi,variasi",ごはんをする（れい20130）（れい20169）,,gohan o suru-20130-20169,melakukan nasi (var-20130) (var-20169),phrase,auto-pad
"frase,verbphrase",みずをたべる,,mizu o taberu,makan air,phrase,
"frase,verbphrase,variasi,variasi,variasi",いぬをする（れい22129）（れい22579）（れい26427）,,inu o suru-22129-22579-26427,melakukan anjing (var-22129) (var-22579) (var-26427),phrase,auto-pad
"keluarga,frase,do,variasi,variasi",いもうとをします（れい20403）（れい20937）,,imouto o shimasu-20403-20937,melakukan adik perempuan (var-20403) (var-20937),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi,variasi,variasi",あしをのむます（れい21093）（れい22079）（れい22781）（れい23240）（れい26218）,,ashi o nomimasu-21093-22079-22781-23240-26218,minum (sopan) kaki (var-21093) (var-22079) (var-22781) (var-23240) (var-26218),phrase,auto-pad
"frase,verbphrase,variasi,variasi",おとうさんをいくます（れい21325）（れい24122）,,otousan o ikimasu-21325-24122,pergi (sopan) ayah (sopan) (var-21325) (var-24122),phrase,auto-pad
"frase,verbphrase",コーヒーをいくます,,koohii o ikimasu,pergi (sopan) kopi,phrase,
"frase,verbphrase,variasi",コーヒーをのむ（れい28881）,,koohii o nomu-28881,minum kopi (var-28881),phrase,auto-pad
"frase,verbphrase,variasi",ははをのむます（れい20357）,,haha o nomimasu-20357,minum (sopan) ibu (saya) (var-20357),phrase,auto-pad
"frase,verbphrase,variasi,variasi,variasi",くるまをくる（れい20963）（れい21112）（れい24439）,,kuruma o kuru-20963-21112-24439,datang mobil (var-20963) (var-21112) (var-24439),phrase,auto-pad
"frase,verbphrase,variasi,variasi",てをはなす（れい22029）（れい23766）,,te o hanasu-22029-23766,berbicara tangan (var-22029) (var-23766),phrase,auto-pad
"kata kerja,verb,variasi,variasi,variasi,variasi,variasi,variasi",おきる（れい20248）（れい21368）（れい21654）（れい24347）（れい28235）（れい28758）,,okiru-20248-21368-21654-24347-28235-28758,bangun (var-20248) (var-21368) (var-21654) (var-24347) (var-28235) (var-28758),verb (dictionary),auto-pad
