kategori,jepang,romaji,arti,tipe,catatan
rumah_harian,いえ,ie,rumah,kata benda,
keluarga,ちち（れい9179）（れい6464）（れい2832）（れい6378）,chichi-9179-6464-2832-6378,ayah (saya) (var-9179) (var-6464) (var-2832) (var-6378),kata benda,auto-var
frase,たべますがすきです（れい2139）（れい7227）（れい6313）（れい5820）（れい8033）（れい6644）,tabemasu ga suki desu-2139-7227-6313-5820-8033-6644,Saya suka makan (sopan) (var-2139) (var-7227) (var-6313) (var-5820) (var-8033) (var-6644),frase,auto-var
perkenalan,はじめまして（れい1053）（れい6539）（れい4228）（れい8700）（れい1379）,hajimemashite-1053-6539-4228-8700-1379,senang bertemu denganmu (var-1053) (var-6539) (var-4228) (var-8700) (var-1379),ungkapan,auto-var
hobi,えいが（れい7118）（れい4770）（れい4872）（れい2213）,eiga-7118-4770-4872-2213,film (var-7118) (var-4770) (var-4872) (var-2213),kata benda,auto-var
hobi,えいが（れい7118）（れい4770）（れい4872）（れい7815）（れい2493）,eiga-7118-4770-4872-7815-2493,film (var-7118) (var-4770) (var-4872) (var-7815) (var-2493),kata benda,auto-var
rumah_harian,いえ（れい9935）（れい2169）（れい6857）（れい5600）,ie-9935-2169-6857-5600,rumah (var-9935) (var-2169) (var-6857) (var-5600),kata benda,auto-var
keluarga,おとうさん（れい1488）（れい6635）（れい8461）（れい3267）（れい6688）（れい6126）（れい2110）（れい1500）,otousan-1488-6635-8461-3267-6688-6126-2110-1500,ayah (sopan) (var-1488) (var-6635) (var-8461) (var-3267) (var-6688) (var-6126) (var-2110) (var-1500),kata benda,auto-var
keluarga,おとうさん（れい2679）（れい1828）（れい7868）（れい4963）（れい8454）,otousan-2679-1828-7868-4963-8454,ayah (sopan) (var-2679) (var-1828) (var-7868) (var-4963) (var-8454),kata benda,auto-var
frase,おんがくをします（れい8573）（れい6491）（れい3847）（れい9022）（れい7367）（れい6950）（れい8550）,ongaku o shimasu-8573-6491-3847-9022-7367-6950-8550,Melakukan musik (var-8573) (var-6491) (var-3847) (var-9022) (var-7367) (var-6950) (var-8550),frase,auto-var
frase,いえにいきます（れい7912）（れい3662）（れい9408）,ie ni ikimasu-7912-3662-9408,Pergi ke rumah (var-7912) (var-3662) (var-9408),frase,auto-var
keluarga,おとうさん（れい2679）（れい5339）（れい1406）（れい2120）,otousan-2679-5339-1406-2120,ayah (sopan) (var-2679) (var-5339) (var-1406) (var-2120),kata benda,auto-var
sekolah,せんせい（れい7658）（れい3001）（れい5712）,sensei-7658-3001-5712,guru (var-7658) (var-3001) (var-5712),kata benda,auto-var
frase,せんせいをみます（れい4657）（れい6881）（れい2528）（れい4995）,sensei o mimasu-4657-6881-2528-4995,Menonton guru (var-4657) (var-6881) (var-2528) (var-4995),frase,auto-var
hobi,えいが（れい7118）（れい1822）（れい5941）（れい2940）（れい9167）（れい4743）（れい9189）,eiga-7118-1822-5941-2940-9167-4743-9189,film (var-7118) (var-1822) (var-5941) (var-2940) (var-9167) (var-4743) (var-9189),kata benda,auto-var
keluarga,ちち（れい6514）（れい3045）（れい6168）（れい7624）（れい7302）,chichi-6514-3045-6168-7624-7302,ayah (saya) (var-6514) (var-3045) (var-6168) (var-7624) (var-7302),kata benda,auto-var
frase,せんせいをみます（れい7065）（れい6325）,sensei o mimasu-7065-6325,Menonton guru (var-7065) (var-6325),frase,auto-var
ungkapan,ありがとうございます（れい4527）（れい5333）（れい9698）（れい2506）,arigatou gozaimasu-4527-5333-9698-2506,terima kasih (sopan) (var-4527) (var-5333) (var-9698) (var-2506),ungkapan,auto-var
frase,ほんにいきます（れい3664）（れい5304）（れい6930）（れい5371）（れい2419）（れい3538）（れい9756）,hon ni ikimasu-3664-5304-6930-5371-2419-3538-9756,Pergi ke buku (var-3664) (var-5304) (var-6930) (var-5371) (var-2419) (var-3538) (var-9756),frase,auto-var
frase,いえにいきます（れい5374）（れい8579）（れい7615）（れい4978）（れい8569）（れい4866）（れい9674）,ie ni ikimasu-5374-8579-7615-4978-8569-4866-9674,Pergi ke rumah (var-5374) (var-8579) (var-7615) (var-4978) (var-8569) (var-4866) (var-9674),frase,auto-var
kata kerja,たべる（れい4750）（れい8953）,taberu-4750-8953,makan (var-4750) (var-8953),kata kerja,auto-var
sekolah,せんせい（れい3697）（れい7930）（れい2188）（れい8119）（れい9702）,sensei-3697-7930-2188-8119-9702,guru (var-3697) (var-7930) (var-2188) (var-8119) (var-9702),kata benda,auto-var
angka,に（れい3504）（れい3103）（れい3705）（れい7678）（れい1753）（れい1258）（れい2083）,ni-3504-3103-3705-7678-1753-1258-2083,dua (var-3504) (var-3103) (var-3705) (var-7678) (var-1753) (var-1258) (var-2083),angka,auto-var
sekolah,がっこう（れい3286）（れい5915）（れい8870）,gakkou-3286-5915-8870,sekolah (var-3286) (var-5915) (var-8870),kata benda,auto-var
frase,ほんにいきます（れい4681）（れい8886）（れい8478）（れい2341）（れい5497）（れい3573）,hon ni ikimasu-4681-8886-8478-2341-5497-3573,Pergi ke buku (var-4681) (var-8886) (var-8478) (var-2341) (var-5497) (var-3573),frase,auto-var
frase,せんせいをみます（れい4657）（れい5889）（れい1410）（れい9510）（れい4559）,sensei o mimasu-4657-5889-1410-9510-4559,Menonton guru (var-4657) (var-5889) (var-1410) (var-9510) (var-4559),frase,auto-var
frase,いえにいきます（れい1319）（れい3979）（れい7686）（れい6231）（れい2641）（れい2856）,ie ni ikimasu-1319-3979-7686-6231-2641-2856,Pergi ke rumah (var-1319) (var-3979) (var-7686) (var-6231) (var-2641) (var-2856),frase,auto-var
angka,に（れい3927）（れい4335）（れい2592）（れい2502）（れい5264）（れい3262）（れい9366）（れい3519）,ni-3927-4335-2592-2502-5264-3262-9366-3519,dua (var-3927) (var-4335) (var-2592) (var-2502) (var-5264) (var-3262) (var-9366) (var-3519),angka,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい9479）（れい7669）（れい6850）,otousan-1488-3615-9479-7669-6850,ayah (sopan) (var-1488) (var-3615) (var-9479) (var-7669) (var-6850),kata benda,auto-var
frase,ほんにいきます（れい3664）（れい9689）（れい4923）（れい6559）（れい5573）（れい5653）（れい7170）,hon ni ikimasu-3664-9689-4923-6559-5573-5653-7170,Pergi ke buku (var-3664) (var-9689) (var-4923) (var-6559) (var-5573) (var-5653) (var-7170),frase,auto-var
frase,ちちがすきです（れい9279）（れい7464）（れい8657）（れい7173）（れい5362）,chichi ga suki desu-9279-7464-8657-7173-5362,Saya suka ayah (saya) (var-9279) (var-7464) (var-8657) (var-7173) (var-5362),frase,auto-var
frase,せんせいをみます（れい1409）（れい5422）（れい9005）（れい8041）,sensei o mimasu-1409-5422-9005-8041,Menonton guru (var-1409) (var-5422) (var-9005) (var-8041),frase,auto-var
frase,せんせいをみます（れい4657）（れい5889）（れい1590）（れい5583）（れい5094）,sensei o mimasu-4657-5889-1590-5583-5094,Menonton guru (var-4657) (var-5889) (var-1590) (var-5583) (var-5094),frase,auto-var
frase,いえにいきます（れい5374）（れい8579）（れい7615）（れい2697）（れい2889）（れい7797）（れい9691）（れい6301）（れい9460）,ie ni ikimasu-5374-8579-7615-2697-2889-7797-9691-6301-9460,Pergi ke rumah (var-5374) (var-8579) (var-7615) (var-2697) (var-2889) (var-7797) (var-9691) (var-6301) (var-9460),frase,auto-var
angka,に（れい3927）（れい7735）（れい5161）（れい7626）（れい7730）（れい8803）（れい9328）,ni-3927-7735-5161-7626-7730-8803-9328,dua (var-3927) (var-7735) (var-5161) (var-7626) (var-7730) (var-8803) (var-9328),angka,auto-var
frase,せんせいをみます（れい4657）（れい6881）（れい5563）（れい1436）,sensei o mimasu-4657-6881-5563-1436,Menonton guru (var-4657) (var-6881) (var-5563) (var-1436),frase,auto-var
sekolah,がっこう（れい3286）（れい5915）（れい1058）（れい8251）（れい4267）,gakkou-3286-5915-1058-8251-4267,sekolah (var-3286) (var-5915) (var-1058) (var-8251) (var-4267),kata benda,auto-var
kata kerja,たべます（れい1035）（れい4269）（れい1096）（れい6654）,tabemasu-1035-4269-1096-6654,makan (sopan) (var-1035) (var-4269) (var-1096) (var-6654),kata kerja (masu),auto-var
sekolah,せんせい（れい7658）,sensei-7658,guru (var-7658),kata benda,auto-var
benda,ほん（れい3532）（れい3907）,hon-3532-3907,buku (var-3532) (var-3907),kata benda,auto-var
frase,せんせいをみます（れい1409）（れい5422）（れい2084）（れい2403）（れい9849）（れい5557）（れい7340）,sensei o mimasu-1409-5422-2084-2403-9849-5557-7340,Menonton guru (var-1409) (var-5422) (var-2084) (var-2403) (var-9849) (var-5557) (var-7340),frase,auto-var
frase,にをみます（れい6574）（れい4752）（れい2040）（れい5901）（れい7878）,ni o mimasu-6574-4752-2040-5901-7878,Menonton dua (var-6574) (var-4752) (var-2040) (var-5901) (var-7878),frase,auto-var
sekolah,せんせい（れい3697）（れい2312）（れい3579）（れい8869）（れい5712）,sensei-3697-2312-3579-8869-5712,guru (var-3697) (var-2312) (var-3579) (var-8869) (var-5712),kata benda,auto-var
frase,せんせいをみます（れい4657）（れい6881）（れい3471）（れい2245）（れい1243）（れい7992）（れい8052）（れい3165）,sensei o mimasu-4657-6881-3471-2245-1243-7992-8052-3165,Menonton guru (var-4657) (var-6881) (var-3471) (var-2245) (var-1243) (var-7992) (var-8052) (var-3165),frase,auto-var
angka,に（れい3927）（れい4335）（れい2592）（れい3290）（れい4555）（れい3580）,ni-3927-4335-2592-3290-4555-3580,dua (var-3927) (var-4335) (var-2592) (var-3290) (var-4555) (var-3580),angka,auto-var
angka,に（れい3927）（れい7735）（れい5161）（れい7626）（れい7730）,ni-3927-7735-5161-7626-7730,dua (var-3927) (var-7735) (var-5161) (var-7626) (var-7730),angka,auto-var
ungkapan,ありがとうございます（れい4527）（れい5333）（れい6925）（れい2641）,arigatou gozaimasu-4527-5333-6925-2641,terima kasih (sopan) (var-4527) (var-5333) (var-6925) (var-2641),ungkapan,auto-var
frase,たべますがすきです（れい1158）（れい2978）（れい9475）,tabemasu ga suki desu-1158-2978-9475,Saya suka makan (sopan) (var-1158) (var-2978) (var-9475),frase,auto-var
keluarga,おとうさん（れい2679）（れい8651）（れい9288）（れい6967）（れい6280）（れい1986）（れい7713）（れい1653）,otousan-2679-8651-9288-6967-6280-1986-7713-1653,ayah (sopan) (var-2679) (var-8651) (var-9288) (var-6967) (var-6280) (var-1986) (var-7713) (var-1653),kata benda,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい2519）（れい2684）（れい1686）,otousan-1488-3615-2519-2684-1686,ayah (sopan) (var-1488) (var-3615) (var-2519) (var-2684) (var-1686),kata benda,auto-var
sekolah,せんせい（れい5012）（れい8359）（れい5557）（れい6183）（れい6067）（れい6632）（れい9452）,sensei-5012-8359-5557-6183-6067-6632-9452,guru (var-5012) (var-8359) (var-5557) (var-6183) (var-6067) (var-6632) (var-9452),kata benda,auto-var
frase,いえにいきます（れい5040）,ie ni ikimasu-5040,Pergi ke rumah (var-5040),frase,auto-var
kata kerja,たべる（れい2291）（れい9042）（れい2624）（れい2582）（れい5442）,taberu-2291-9042-2624-2582-5442,makan (var-2291) (var-9042) (var-2624) (var-2582) (var-5442),kata kerja,auto-var
angka,いち（れい1128）（れい9214）（れい8625）,ichi-1128-9214-8625,satu (var-1128) (var-9214) (var-8625),angka,auto-var
hobi,えいが（れい4582）（れい1711）（れい4130）（れい3435）,eiga-4582-1711-4130-3435,film (var-4582) (var-1711) (var-4130) (var-3435),kata benda,auto-var
frase,にをみます（れい6574）（れい4752）（れい2874）（れい9697）,ni o mimasu-6574-4752-2874-9697,Menonton dua (var-6574) (var-4752) (var-2874) (var-9697),frase,auto-var
frase,たべますがすきです（れい2139）（れい8397）（れい5920）（れい6421）（れい8490）,tabemasu ga suki desu-2139-8397-5920-6421-8490,Saya suka makan (sopan) (var-2139) (var-8397) (var-5920) (var-6421) (var-8490),frase,auto-var
hobi,えいが（れい4582）（れい3677）（れい5673）（れい7455）（れい4813）（れい5060）,eiga-4582-3677-5673-7455-4813-5060,film (var-4582) (var-3677) (var-5673) (var-7455) (var-4813) (var-5060),kata benda,auto-var
frase,いえにいきます（れい7912）（れい7267）（れい6023）（れい2229）（れい1715）（れい4513）（れい2245）,ie ni ikimasu-7912-7267-6023-2229-1715-4513-2245,Pergi ke rumah (var-7912) (var-7267) (var-6023) (var-2229) (var-1715) (var-4513) (var-2245),frase,auto-var
frase,たべるをみます（れい4150）（れい7572）（れい9346）（れい4997）（れい2747）,taberu o mimasu-4150-7572-9346-4997-2747,Menonton makan (var-4150) (var-7572) (var-9346) (var-4997) (var-2747),frase,auto-var
frase,ちちがすきです（れい1750）（れい1993）（れい8043）（れい8648）（れい1251）,chichi ga suki desu-1750-1993-8043-8648-1251,Saya suka ayah (saya) (var-1750) (var-1993) (var-8043) (var-8648) (var-1251),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい9201）（れい8962）（れい8787）（れい9004）,tanoshii-2424-1520-5552-2584-9201-8962-8787-9004,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-9201) (var-8962) (var-8787) (var-9004),kata sifat,auto-var
frase,えいががすきです（れい6794）（れい9922）（れい9537）（れい1999）（れい7562）,eiga ga suki desu-6794-9922-9537-1999-7562,Saya suka film (var-6794) (var-9922) (var-9537) (var-1999) (var-7562),frase,auto-var
frase,ほんにいきます（れい4681）（れい8886）（れい1722）（れい4770）（れい1159）,hon ni ikimasu-4681-8886-1722-4770-1159,Pergi ke buku (var-4681) (var-8886) (var-1722) (var-4770) (var-1159),frase,auto-var
angka,に（れい7216）（れい4456）（れい9830）（れい4502）（れい8007）,ni-7216-4456-9830-4502-8007,dua (var-7216) (var-4456) (var-9830) (var-4502) (var-8007),angka,auto-var
keluarga,ちち（れい6514）（れい6147）（れい4585）（れい5636）（れい2589）,chichi-6514-6147-4585-5636-2589,ayah (saya) (var-6514) (var-6147) (var-4585) (var-5636) (var-2589),kata benda,auto-var
frase,せんせいをみます（れい4657）（れい6881）（れい1188）（れい3449）,sensei o mimasu-4657-6881-1188-3449,Menonton guru (var-4657) (var-6881) (var-1188) (var-3449),frase,auto-var
angka,に（れい7216）（れい4456）（れい2796）（れい2776）（れい9464）（れい8555）,ni-7216-4456-2796-2776-9464-8555,dua (var-7216) (var-4456) (var-2796) (var-2776) (var-9464) (var-8555),angka,auto-var
sekolah,せんせい（れい5012）（れい4483）（れい5808）（れい1653）（れい2337）,sensei-5012-4483-5808-1653-2337,guru (var-5012) (var-4483) (var-5808) (var-1653) (var-2337),kata benda,auto-var
hobi,えいが（れい7118）（れい1822）（れい6152）（れい2852）,eiga-7118-1822-6152-2852,film (var-7118) (var-1822) (var-6152) (var-2852),kata benda,auto-var
frase,にをみます（れい6574）（れい4752）（れい2040）（れい8177）（れい3296）（れい9099）,ni o mimasu-6574-4752-2040-8177-3296-9099,Menonton dua (var-6574) (var-4752) (var-2040) (var-8177) (var-3296) (var-9099),frase,auto-var
frase,せんせいをみます（れい4657）（れい5662）（れい2262）（れい1829）,sensei o mimasu-4657-5662-2262-1829,Menonton guru (var-4657) (var-5662) (var-2262) (var-1829),frase,auto-var
sekolah,せんせい（れい5012）（れい8359）（れい4185）（れい9847）（れい5465）（れい2101）（れい8429）（れい8736）,sensei-5012-8359-4185-9847-5465-2101-8429-8736,guru (var-5012) (var-8359) (var-4185) (var-9847) (var-5465) (var-2101) (var-8429) (var-8736),kata benda,auto-var
keluarga,おとうさん（れい1488）（れい3615）（れい2519）（れい2684）（れい8438）（れい1710）（れい1611）（れい3868）（れい2615）（れい2117）,otousan-1488-3615-2519-2684-8438-1710-1611-3868-2615-2117,ayah (sopan) (var-1488) (var-3615) (var-2519) (var-2684) (var-8438) (var-1710) (var-1611) (var-3868) (var-2615) (var-2117),kata benda,auto-var
sekolah,がっこう（れい7691）（れい2746）（れい6727）（れい9233）,gakkou-7691-2746-6727-9233,sekolah (var-7691) (var-2746) (var-6727) (var-9233),kata benda,auto-var
frase,はじめましてがすきです（れい9666）（れい2330）（れい4764）（れい7168）（れい9689）（れい6657）,hajimemashite ga suki desu-9666-2330-4764-7168-9689-6657,Saya suka senang bertemu denganmu (var-9666) (var-2330) (var-4764) (var-7168) (var-9689) (var-6657),frase,auto-var
frase,にをみます（れい6574）（れい2958）（れい6150）（れい5653）,ni o mimasu-6574-2958-6150-5653,Menonton dua (var-6574) (var-2958) (var-6150) (var-5653),frase,auto-var
sekolah,せんせい（れい5012）（れい4483）（れい5808）（れい8611）（れい3594）（れい2391）（れい1567）,sensei-5012-4483-5808-8611-3594-2391-1567,guru (var-5012) (var-4483) (var-5808) (var-8611) (var-3594) (var-2391) (var-1567),kata benda,auto-var
frase,にをみます（れい6574）（れい4752）（れい2040）（れい1241）（れい3868）,ni o mimasu-6574-4752-2040-1241-3868,Menonton dua (var-6574) (var-4752) (var-2040) (var-1241) (var-3868),frase,auto-var
frase,せんせいをみます（れい4657）（れい6881）（れい3471）（れい7951）（れい3129）,sensei o mimasu-4657-6881-3471-7951-3129,Menonton guru (var-4657) (var-6881) (var-3471) (var-7951) (var-3129),frase,auto-var
frase,いえにいきます（れい2743）,ie ni ikimasu-2743,Pergi ke rumah (var-2743),frase,auto-var
frase,はじめましてがすきです（れい8517）（れい4111）（れい7658）,hajimemashite ga suki desu-8517-4111-7658,Saya suka senang bertemu denganmu (var-8517) (var-4111) (var-7658),frase,auto-var
kata sifat,たのしい（れい2424）（れい3646）（れい9379）（れい8373）,tanoshii-2424-3646-9379-8373,menyenangkan (var-2424) (var-3646) (var-9379) (var-8373),kata sifat,auto-var
frase,ほんにいきます（れい3664）（れい4432）（れい6947）（れい9044）（れい9745）,hon ni ikimasu-3664-4432-6947-9044-9745,Pergi ke buku (var-3664) (var-4432) (var-6947) (var-9044) (var-9745),frase,auto-var
perkenalan,こんにちは（れい7689）（れい5520）（れい1948）,konnichiwa-7689-5520-1948,halo (var-7689) (var-5520) (var-1948),ungkapan,auto-var
hobi,えいが（れい7118）（れい1822）（れい5941）（れい2940）（れい7505）（れい4638）,eiga-7118-1822-5941-2940-7505-4638,film (var-7118) (var-1822) (var-5941) (var-2940) (var-7505) (var-4638),kata benda,auto-var
frase,ほんにいきます（れい4681）（れい8886）（れい8478）（れい2341）（れい3858）,hon ni ikimasu-4681-8886-8478-2341-3858,Pergi ke buku (var-4681) (var-8886) (var-8478) (var-2341) (var-3858),frase,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい9201）（れい8962）（れい8787）（れい9004）（れい2091）,tanoshii-2424-1520-5552-2584-9201-8962-8787-9004-2091,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-9201) (var-8962) (var-8787) (var-9004) (var-2091),kata sifat,auto-var
keluarga,おとうさん（れい2679）（れい8651）（れい9288）（れい4681）（れい9692）,otousan-2679-8651-9288-4681-9692,ayah (sopan) (var-2679) (var-8651) (var-9288) (var-4681) (var-9692),kata benda,auto-var
frase,せんせいをみます（れい8428）（れい6277）（れい5139）（れい3994）,sensei o mimasu-8428-6277-5139-3994,Menonton guru (var-8428) (var-6277) (var-5139) (var-3994),frase,auto-var
keluarga,おとうさん（れい2679）（れい1828）（れい7868）（れい8172）（れい9561）,otousan-2679-1828-7868-8172-9561,ayah (sopan) (var-2679) (var-1828) (var-7868) (var-8172) (var-9561),kata benda,auto-var
hobi,えいが（れい4582）（れい9785）（れい5315）（れい6352）（れい7437）,eiga-4582-9785-5315-6352-7437,film (var-4582) (var-9785) (var-5315) (var-6352) (var-7437),kata benda,auto-var
kata kerja,たべる（れい4750）（れい8953）（れい9808）（れい9282）（れい4944）（れい6905）（れい2404）,taberu-4750-8953-9808-9282-4944-6905-2404,makan (var-4750) (var-8953) (var-9808) (var-9282) (var-4944) (var-6905) (var-2404),kata kerja,auto-var
frase,ほんにいきます（れい3664）（れい4432）（れい4899）,hon ni ikimasu-3664-4432-4899,Pergi ke buku (var-3664) (var-4432) (var-4899),frase,auto-var
frase,たべますがすきです（れい2139）（れい7227）（れい6912）,tabemasu ga suki desu-2139-7227-6912,Saya suka makan (sopan) (var-2139) (var-7227) (var-6912),frase,auto-var
kata kerja,たべる（れい4750）（れい8953）（れい7888）（れい5843）（れい5913）（れい1950）（れい7971）,taberu-4750-8953-7888-5843-5913-1950-7971,makan (var-4750) (var-8953) (var-7888) (var-5843) (var-5913) (var-1950) (var-7971),kata kerja,auto-var
angka,に（れい3927）（れい8633）（れい3683）,ni-3927-8633-3683,dua (var-3927) (var-8633) (var-3683),angka,auto-var
frase,せんせいをみます（れい4657）（れい5889）（れい4946）（れい7022）（れい7220）（れい7761）（れい1547）（れい2049）,sensei o mimasu-4657-5889-4946-7022-7220-7761-1547-2049,Menonton guru (var-4657) (var-5889) (var-4946) (var-7022) (var-7220) (var-7761) (var-1547) (var-2049),frase,auto-var
keluarga,ちち（れい4450）（れい2695）（れい3541）,chichi-4450-2695-3541,ayah (saya) (var-4450) (var-2695) (var-3541),kata benda,auto-var
kata kerja,たべる（れい2291）（れい9042）（れい3837）（れい8506）（れい4271）,taberu-2291-9042-3837-8506-4271,makan (var-2291) (var-9042) (var-3837) (var-8506) (var-4271),kata kerja,auto-var
ungkapan,ありがとうございます（れい4527）（れい5803）（れい4510）（れい8956）（れい1782）（れい8319）（れい6424）,arigatou gozaimasu-4527-5803-4510-8956-1782-8319-6424,terima kasih (sopan) (var-4527) (var-5803) (var-4510) (var-8956) (var-1782) (var-8319) (var-6424),ungkapan,auto-var
frase,せんせいをみます（れい1409）（れい5272）,sensei o mimasu-1409-5272,Menonton guru (var-1409) (var-5272),frase,auto-var
sekolah,がっこう（れい3286）（れい1106）（れい5694）,gakkou-3286-1106-5694,sekolah (var-3286) (var-1106) (var-5694),kata benda,auto-var
keluarga,ちち（れい6514）（れい6147）（れい5082）（れい4365）,chichi-6514-6147-5082-4365,ayah (saya) (var-6514) (var-6147) (var-5082) (var-4365),kata benda,auto-var
keluarga,ちち（れい4450）,chichi-4450,ayah (saya) (var-4450),kata benda,auto-var
hobi,おんがく（れい2604）（れい9751）（れい6372）,ongaku-2604-9751-6372,musik (var-2604) (var-9751) (var-6372),kata benda,auto-var
frase,ちちがすきです（れい1750）（れい1993）（れい8043）（れい4919）（れい5377）,chichi ga suki desu-1750-1993-8043-4919-5377,Saya suka ayah (saya) (var-1750) (var-1993) (var-8043) (var-4919) (var-5377),frase,auto-var
hobi,えいが（れい7118）（れい4770）（れい4872）（れい1893）,eiga-7118-4770-4872-1893,film (var-7118) (var-4770) (var-4872) (var-1893),kata benda,auto-var
frase,にをみます（れい6574）（れい3621）（れい6413）（れい3848）,ni o mimasu-6574-3621-6413-3848,Menonton dua (var-6574) (var-3621) (var-6413) (var-3848),frase,auto-var
frase,たべるをみます（れい4150）（れい7572）（れい9346）（れい4997）（れい8565）（れい4087）,taberu o mimasu-4150-7572-9346-4997-8565-4087,Menonton makan (var-4150) (var-7572) (var-9346) (var-4997) (var-8565) (var-4087),frase,auto-var
frase,ちちがすきです（れい1750）（れい1993）（れい8043）（れい4559）（れい2930）,chichi ga suki desu-1750-1993-8043-4559-2930,Saya suka ayah (saya) (var-1750) (var-1993) (var-8043) (var-4559) (var-2930),frase,auto-var
keluarga,ちち（れい6514）（れい3045）（れい6168）（れい5114）（れい6279）,chichi-6514-3045-6168-5114-6279,ayah (saya) (var-6514) (var-3045) (var-6168) (var-5114) (var-6279),kata benda,auto-var
frase,たべるをみます（れい4150）（れい7572）（れい9346）（れい4997）（れい5945）,taberu o mimasu-4150-7572-9346-4997-5945,Menonton makan (var-4150) (var-7572) (var-9346) (var-4997) (var-5945),frase,auto-var
sekolah,せんせい（れい3697）（れい7930）（れい7079）（れい3627）（れい6281）,sensei-3697-7930-7079-3627-6281,guru (var-3697) (var-7930) (var-7079) (var-3627) (var-6281),kata benda,auto-var
sekolah,せんせい（れい3697）（れい2312）（れい7865）（れい9945）（れい7033）,sensei-3697-2312-7865-9945-7033,guru (var-3697) (var-2312) (var-7865) (var-9945) (var-7033),kata benda,auto-var
keluarga,おとうさん（れい2679）（れい8651）（れい9288）（れい6967）（れい6280）（れい5169）（れい2865）（れい3877）（れい6428）（れい7430）,otousan-2679-8651-9288-6967-6280-5169-2865-3877-6428-7430,ayah (sopan) (var-2679) (var-8651) (var-9288) (var-6967) (var-6280) (var-5169) (var-2865) (var-3877) (var-6428) (var-7430),kata benda,auto-var
angka,に（れい3504）（れい3103）（れい3705）（れい7678）（れい1753）（れい2076）（れい7062）（れい7640）（れい4624）,ni-3504-3103-3705-7678-1753-2076-7062-7640-4624,dua (var-3504) (var-3103) (var-3705) (var-7678) (var-1753) (var-2076) (var-7062) (var-7640) (var-4624),angka,auto-var
frase,がっこうにいきます（れい2869）,gakkou ni ikimasu-2869,Pergi ke sekolah (var-2869),frase,auto-var
keluarga,おとうさん（れい2679）（れい6155）（れい2160）（れい8752）（れい5542）（れい6675）,otousan-2679-6155-2160-8752-5542-6675,ayah (sopan) (var-2679) (var-6155) (var-2160) (var-8752) (var-5542) (var-6675),kata benda,auto-var
perkenalan,こんにちは（れい8350）（れい8305）（れい7698）,konnichiwa-8350-8305-7698,halo (var-8350) (var-8305) (var-7698),ungkapan,auto-var
angka,に（れい3504）（れい3103）（れい3705）（れい7678）（れい1753）（れい8155）（れい3218）（れい9866）,ni-3504-3103-3705-7678-1753-8155-3218-9866,dua (var-3504) (var-3103) (var-3705) (var-7678) (var-1753) (var-8155) (var-3218) (var-9866),angka,auto-var
keluarga,おとうさん（れい2679）（れい1828）（れい9856）（れい1444）（れい6511）,otousan-2679-1828-9856-1444-6511,ayah (sopan) (var-2679) (var-1828) (var-9856) (var-1444) (var-6511),kata benda,auto-var
sekolah,せんせい（れい5012）（れい8359）（れい4185）（れい9847）（れい6766）,sensei-5012-8359-4185-9847-6766,guru (var-5012) (var-8359) (var-4185) (var-9847) (var-6766),kata benda,auto-var
frase,いえにいきます（れい5374）（れい8579）（れい7615）（れい5351）（れい5708）,ie ni ikimasu-5374-8579-7615-5351-5708,Pergi ke rumah (var-5374) (var-8579) (var-7615) (var-5351) (var-5708),frase,auto-var
perkenalan,はじめまして（れい1053）（れい6539）（れい4116）（れい3719）（れい5764）,hajimemashite-1053-6539-4116-3719-5764,senang bertemu denganmu (var-1053) (var-6539) (var-4116) (var-3719) (var-5764),ungkapan,auto-var
perkenalan,はじめまして（れい1053）（れい7284）（れい9584）（れい7216）,hajimemashite-1053-7284-9584-7216,senang bertemu denganmu (var-1053) (var-7284) (var-9584) (var-7216),ungkapan,auto-var
kata sifat,たのしい（れい2424）（れい1520）（れい5552）（れい2584）（れい9201）（れい1672）,tanoshii-2424-1520-5552-2584-9201-1672,menyenangkan (var-2424) (var-1520) (var-5552) (var-2584) (var-9201) (var-1672),kata sifat,auto-var
keluarga,おとうさん（れい2679）（れい1828）（れい9856）（れい1444）（れい6511）（れい1449）,otousan-2679-1828-9856-1444-6511-1449,ayah (sopan) (var-2679) (var-1828) (var-9856) (var-1444) (var-6511) (var-1449),kata benda,auto-var
hobi,えいが（れい4582）（れい1711）（れい7201）（れい1525）（れい5011）（れい4120）,eiga-4582-1711-7201-1525-5011-4120,film (var-4582) (var-1711) (var-7201) (var-1525) (var-5011) (var-4120),kata benda,auto-var
frase,にをみます（れい6574）（れい4752）（れい2040）（れい2113）（れい8237）（れい2531）（れい8075）（れい7144）,ni o mimasu-6574-4752-2040-2113-8237-2531-8075-7144,Menonton dua (var-6574) (var-4752) (var-2040) (var-2113) (var-8237) (var-2531) (var-8075) (var-7144),frase,auto-var
